LOAD(kW);SG(t);datetime
223,4491421;0;2019-01-01 00:00:00
203,3116776;0;2019-01-01 01:00:00
180,198849;0;2019-01-01 02:00:00
146,232528;0;2019-01-01 03:00:00
168,7479324;0;2019-01-01 04:00:00
146,3714715;0;2019-01-01 05:00:00
141,7335867;0;2019-01-01 06:00:00
157,0665127;0,00269094;2019-01-01 07:00:00
173,9253125;0,01865598;2019-01-01 08:00:00
225,460794;0,02749979;2019-01-01 09:00:00
233,2287917;0,1684654;2019-01-01 10:00:00
225,9085089;0,1285657;2019-01-01 11:00:00
233,5997562;0,133128;2019-01-01 12:00:00
219,7793929;0,39177558;2019-01-01 13:00:00
235,4612028;0,25165492;2019-01-01 14:00:00
242,2159775;0,0934605;2019-01-01 15:00:00
234,557122;0,04365704;2019-01-01 16:00:00
248,8037432;0,00534834;2019-01-01 17:00:00
215,2393409;0;2019-01-01 18:00:00
209,0132087;0;2019-01-01 19:00:00
220,0675087;0;2019-01-01 20:00:00
196,1135556;0;2019-01-01 21:00:00
200,0019572;0;2019-01-01 22:00:00
202,5884461;0;2019-01-01 23:00:00
196,1826248;0;2019-01-02 00:00:00
188,9182917;0;2019-01-02 01:00:00
177,47892;0;2019-01-02 02:00:00
150,5074254;0;2019-01-02 03:00:00
145,1003789;0;2019-01-02 04:00:00
140,9533848;0;2019-01-02 05:00:00
135,6311464;0;2019-01-02 06:00:00
156,1706997;0,00534318;2019-01-02 07:00:00
185,2041611;0,03023416;2019-01-02 08:00:00
214,8187554;0,01509515;2019-01-02 09:00:00
218,5404058;0,05588667;2019-01-02 10:00:00
223,6456088;0,088666;2019-01-02 11:00:00
244,0959347;0,28004868;2019-01-02 12:00:00
244,4028427;0,15228364;2019-01-02 13:00:00
225,9796433;0,12218106;2019-01-02 14:00:00
219,4804111;0,0345462;2019-01-02 15:00:00
214,0318309;0,01240722;2019-01-02 16:00:00
225,033244;0,00265998;2019-01-02 17:00:00
215,9113201;0;2019-01-02 18:00:00
193,3663203;0;2019-01-02 19:00:00
204,9613124;0;2019-01-02 20:00:00
195,7638771;0;2019-01-02 21:00:00
208,6482067;0;2019-01-02 22:00:00
192,8788815;0;2019-01-02 23:00:00
194,8424671;0;2019-01-03 00:00:00
184,5380759;0;2019-01-03 01:00:00
163,7730145;0;2019-01-03 02:00:00
150,0150022;0;2019-01-03 03:00:00
145,1351999;0;2019-01-03 04:00:00
143,0896719;0;2019-01-03 05:00:00
140,1308556;0;2019-01-03 06:00:00
162,393446;0,00265869;2019-01-03 07:00:00
197,6616923;0,01239518;2019-01-03 08:00:00
202,5252223;0,0397836;2019-01-03 09:00:00
219,3057687;0,0794898;2019-01-03 10:00:00
235,2595262;0,12529512;2019-01-03 11:00:00
213,3492312;0,1852053;2019-01-03 12:00:00
214,7131588;0,1066615;2019-01-03 13:00:00
226,2733681;0,16828437;2019-01-03 14:00:00
