Iteration,Fitness,CAPPV,CPV,EBESS,CBESS,Total_Cost
1,934893381.7412,17197.0,21431733.7348,17268.0,10896615.2464,32328348.9812
2,926962080.0267,16856.0,21006763.0304,17203.0,10783105.5363,31789868.5667
3,896661530.0682,16477.0,20534434.8868,16582.0,10451182.8614,30985617.7482
4,896661530.0682,16477.0,20534434.8868,16582.0,10451182.8614,30985617.7482
5,896661530.0682,16477.0,20534434.8868,16582.0,10451182.8614,30985617.7482
6,896661530.0682,16477.0,20534434.8868,16582.0,10451182.8614,30985617.7482
7,896661530.0682,16477.0,20534434.8868,16582.0,10451182.8614,30985617.7482
8,891999877.8402,16529.0,20599239.8036,16449.0,10414907.7766,31014147.5802
9,891999877.8402,16529.0,20599239.8036,16449.0,10414907.7766,31014147.5802
10,891999877.8402,16529.0,20599239.8036,16449.0,10414907.7766,31014147.5802
11,622981935.5731,18674.0,23272442.6216,9071.0,8209539.1515,31481981.7731
12,613116946.1772,18087.0,22540894.8108,9037.0,8043349.9164,30584244.7272
13,613116946.1772,18087.0,22540894.8108,9037.0,8043349.9164,30584244.7272
14,613116946.1772,18087.0,22540894.8108,9037.0,8043349.9164,30584244.7272
15,613116946.1772,18087.0,22540894.8108,9037.0,8043349.9164,30584244.7272
16,613116946.1772,18087.0,22540894.8108,9037.0,8043349.9164,30584244.7272
17,607461374.4609,16787.0,20920771.8908,9446.0,7856822.3101,28777594.2009
18,607461374.4609,16787.0,20920771.8908,9446.0,7856822.3101,28777594.2009
19,607461374.4609,16787.0,20920771.8908,9446.0,7856822.3101,28777594.2009
20,607461374.4609,16787.0,20920771.8908,9446.0,7856822.3101,28777594.2009
21,607461374.4609,16787.0,20920771.8908,9446.0,7856822.3101,28777594.2009
22,607461374.4609,16787.0,20920771.8908,9446.0,7856822.3101,28777594.2009
23,606207639.7797,17707.0,22067320.4188,8912.0,7897172.4809,29964492.8997
24,602642451.7426,17683.0,22037410.4572,8806.0,7851177.3654,29888587.8226
25,602642451.7426,17683.0,22037410.4572,8806.0,7851177.3654,29888587.8226
26,602642451.7426,17683.0,22037410.4572,8806.0,7851177.3654,29888587.8226
27,602642451.7426,17683.0,22037410.4572,8806.0,7851177.3654,29888587.8226
28,602642451.7426,17683.0,22037410.4572,8806.0,7851177.3654,29888587.8226
29,602642451.7426,17683.0,22037410.4572,8806.0,7851177.3654,29888587.8226
30,602642451.7426,17683.0,22037410.4572,8806.0,7851177.3654,29888587.8226
31,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
32,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
33,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
34,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
35,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
36,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
37,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
38,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
39,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
40,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
41,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
42,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
43,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
44,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
45,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
46,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
47,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
48,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
49,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
50,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
51,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
52,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
53,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
54,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
55,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
56,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
57,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
58,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
59,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
60,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
61,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
62,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
63,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
64,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
65,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
66,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
67,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
68,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
69,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
70,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
71,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
72,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
73,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
74,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
75,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
76,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
77,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
78,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
79,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
80,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
81,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
82,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
83,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
84,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
85,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
86,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
87,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
88,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
89,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
90,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
91,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
92,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
93,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
94,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
95,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
96,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
97,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
98,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
99,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
100,602383238.6926,17030.0,21223610.252,9240.0,7843130.8406,29066741.0926
