Iteration,Fitness,CAPPV,CPV,EBESS,CBESS,Total_Cost
1,625162471.8238,17693.8583,22051119.1896,9514.0,8119397.6542,30170516.8438
2,619377207.9135,17541.6862,21861689.4328,9442.7588,8053052.0207,29914741.4535
3,606419220.7263,16771.9257,20902078.1648,9385.2014,7830037.0615,28732115.2263
4,603857088.1595,17123.7166,21340757.6016,9240.3851,7867702.1579,29208459.7595
5,603857088.1595,17123.7166,21340757.6016,9240.3851,7867702.1579,29208459.7595
6,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
7,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
8,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
9,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
10,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
11,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
12,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
13,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
14,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
15,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
16,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
17,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
18,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
19,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
20,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
21,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
22,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
23,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
24,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
25,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
