Run,Best_Fitness,Best_CAPPV,Best_EBESS,Best_TC
1,601634623.9036,17569.0,8831.0,29726082.3336
2,602688286.8337,17932.0,8680.0,30216767.6337
3,599272190.0972,16854.0,9144.0,28765411.3772
4,600033643.4694,16913.0,9125.0,28847242.2194
5,600326626.4231,16908.0,9147.0,28847952.4331
6,600590592.9202,16938.0,9128.0,28886062.0402
7,598792336.0369,16807.0,9161.0,28700924.1769
8,601615676.4724,17003.0,9160.0,28996046.8724
9,601083626.2686,16976.0,9159.0,28954967.7486
10,605068091.6122,17139.0,9259.0,29238196.7822
MEAN,601110569.4037,17103.9,9079.4,29117965.3617
STD,1809856.4261,,,
MIN,598792336.0369,,,
MAX,605068091.6122,,,
