Run,Best_Fitness,Best_CAPPV,Best_EBESS,Best_TC
1,598275291.1014,16805.8706,9119.852,28684049.5014
2,597829765.9328,16776.0,9128.0,28641824.6528
3,598196973.8167,16811.9374,9118.0,28692346.9767
4,598393028.1318,16781.9333,9123.0,28648997.1618
5,598401145.3687,16841.0912,9126.0,28739068.4887
6,597744447.9142,16836.5693,9115.6317,28729288.6742
7,598809617.8001,16820.0873,9150.5154,28716776.3801
8,597707043.6926,16834.0,9118.0,28725516.5126
9,598835179.1063,16810.1826,9147.0,28700199.4163
10,597142898.8648,16763.7193,9129.3055,28624108.0948
MEAN,598133539.1729,16808.1391,9127.5305,28690217.5859
STD,529085.4656,,,
MIN,597142898.8648,,,
MAX,598835179.1063,,,
