Iteration,Fitness,CAPPV,CPV,EBESS,CBESS,Total_Cost
1,68188278.5942,1458.5637,1818276.4156,7069.0,2960930.7986,4779207.2142
2,13395951.4684,1451.9583,1809552.6768,6369.0,2696612.2816,4506164.9584
3,13395951.4684,1451.9583,1809552.6768,6369.0,2696612.2816,4506164.9584
4,13395951.4684,1451.9583,1809552.6768,6369.0,2696612.2816,4506164.9584
5,13395951.4684,1451.9583,1809552.6768,6369.0,2696612.2816,4506164.9584
6,8873516.9811,1284.9979,1601429.194,6911.9535,2857738.9871,4459168.1811
7,8873516.9811,1284.9979,1601429.194,6911.9535,2857738.9871,4459168.1811
8,6441721.7994,1116.711,1392059.4628,7249.6221,2941724.8366,4333784.2994
9,5945056.2183,1088.0357,1355918.2592,7437.9175,3004843.9591,4360762.2183
10,5945056.2183,1088.0357,1355918.2592,7437.9175,3004843.9591,4360762.2183
11,4943118.7249,1063.5951,1326008.2976,7472.5865,3011797.4273,4337805.7249
12,4943118.7249,1063.5951,1326008.2976,7472.5865,3011797.4273,4337805.7249
13,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
14,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
15,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
16,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
17,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
18,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
19,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
20,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
21,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
22,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
23,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
24,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
25,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
26,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
27,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
28,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
29,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
30,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
31,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
32,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
33,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
34,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
35,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
36,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
37,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
38,4360665.7052,1059.2144,1319777.0556,7494.4025,3018406.6496,4338183.7052
39,4341170.2237,1051.7897,1311053.3168,7529.8888,3030116.9069,4341170.2237
